,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
774,275,3,455.952381,0.020553221,0.146259303,0,0,1.928571429,2.5,2
465,358,2,398.5238095,-0.013813459,0.297169103,0,0,2.119047619,2,1
230,939,2,35399.90476,-0.026364455,0.225551445,0,233.952381,1,1,0
224,317,3,623.5714286,-0.039839519,0.279668008,0,0,2.5,2.5,0
758,629,0,2881,0.019939193,0.140134827,434.047619,0,1,1,2
298,141,2,19.33333333,-0.009054834,0.250205677,0,0,1,1,0
177,199,4,115.4761905,-0.025076741,0.212013991,0,0,2.238095238,2,0
829,865,5,33477,0.027871186,0.195231704,0,95,1,1,2
82,184,3,251.1428571,-0.029498106,0.230456664,0,0,2.261904762,2.142857143,0
843,247,3,92.28571429,0.000942275,0.072795808,0,0,1,1.321428571,2
662,230,0,66.42857143,0.006883117,0.24051136,0,0,1.333333333,1,2
922,694,2,8921.142857,0.015312103,0.101986621,108.4761905,773.5714286,4,4,2
734,280,1,569.952381,0.024385759,0.184109072,0,0,2.166666667,2.5,2
904,704,5,24547.14286,0.014255149,0.092747801,18.47619048,766.1904762,4,4,2
535,338,3,372.2857143,-0.010174488,0.212442177,0,0,2.5,2.142857143,1
202,316,2,654.6190476,-0.040809056,0.283831552,0,0,2.5,2.5,0
746,840,1,7570.142857,-0.011915664,0.149983904,0,273.9047619,1,1,2
772,488,6,712.9047619,0.028577885,0.205836914,83.52380952,0,2,3.857142857,2
510,523,6,1593.571429,0.025265881,0.270086639,384,0,4,4,1
473,408,3,589.2380952,0.017989108,0.258485352,0,0,2,2,1
39,17,4,152.7142857,-0.034856629,0.277481597,0,0,2.238095238,3,0
841,75,6,12.47619048,0.008976318,0.149148321,0,0,1.142857143,1,2
802,729,2,162104.5714,0.014990256,0.106468327,0.095238095,151.047619,4,3.857142857,2
866,256,5,142.952381,0.01826621,0.132280393,0,0,1.047619048,1.892857143,2
533,889,1,102855.3333,0.01267021,0.211187735,0,16.0952381,1,1,1
368,670,6,4747.333333,-0.035219387,0.271712118,602.4285714,102.2857143,4,4,1
462,291,5,849.3809524,0.041801948,0.313091156,0,0,2.428571429,2.5,1
95,193,5,163.0952381,-0.031196172,0.224763902,0,0,2.357142857,2,0
113,195,0,143.4285714,-0.029435347,0.217671869,0,0,2.333333333,2,0
108,786,3,74501.7619,-0.032885961,0.250761302,0,297.4761905,1.19047619,1,0
786,479,4,509.0952381,0.008690589,0.095426443,23,0,2,2.571428571,2
51,776,0,143819.8571,-0.031982602,0.253109417,0,369.5714286,1.666666667,1,0
435,532,1,1695.142857,0.007887585,0.260442411,405.2380952,0,4,4,1
595,594,0,1588.428571,-0.019101732,0.209293618,418.2380952,0,4,2.5,1
375,412,0,624.047619,0.021231672,0.288484281,0,0,2,2,1
268,749,1,349207.7143,0.000503387,0.178815729,0.047619048,115.1428571,3.619047619,2.428571429,0
801,485,3,602.4761905,0.015831612,0.130121626,60.0952381,0,2,3.428571429,2
542,551,6,1699.285714,0.004790704,0.127112419,497.952381,0,4,4,1
315,895,0,116822.5238,0.01596363,0.256244752,0,15,1,1,0
498,947,3,24715.52381,-0.017455964,0.240651434,0,356.6190476,1,1,1
678,227,4,61.57142857,0.004948052,0.179543071,0,0,1.476190476,1,2
608,561,2,1770,0.001548266,0.119945781,471.5238095,0,4,4,1
836,864,4,30672.90476,0.026246754,0.187126568,0,94.9047619,1,1,2
609,398,0,500.0952381,0.030910912,0.231138313,0,0,2,2,1
358,893,5,112792.5714,0.022478429,0.269460842,0,13.04761905,1,1,1
192,202,0,102.0952381,-0.023696593,0.223088449,0,0,2.166666667,2,0
521,336,1,374.047619,-0.006995459,0.199644656,0,0,2.5,2.214285714,1
83,185,4,244.6666667,-0.032332251,0.238308049,0,0,2.285714286,2.107142857,0
182,314,0,706.8095238,-0.038432815,0.281474348,0,0,2.5,2.5,0
157,308,1,850.952381,-0.026971475,0.223156536,0,0,2.5,2.5,0
890,710,4,41171.52381,0.016866759,0.111638548,3.761904762,518.4761905,4,4,2
877,252,1,110,0.008361994,0.073776586,0,0,1,1.678571429,2
76,186,5,237.3333333,-0.032545319,0.238964516,0,0,2.30952381,2.071428571,0
760,632,3,3143.904762,0.016782737,0.133880064,449.9047619,0.619047619,1,1,2
126,196,1,134.7142857,-0.028554489,0.211686641,0,0,2.30952381,2,0
652,598,4,1532.904762,-0.005602668,0.198620285,397.1428571,0,4,1.642857143,2
410,351,2,393.4285714,0.009704406,0.284573598,0,0,2.285714286,2,1
859,717,4,75638.7619,0.019098458,0.130599619,0.80952381,353.0952381,4,4,2
283,830,5,9962.571429,-0.022287375,0.257148444,0,376.8571429,1,1,0
133,788,5,64727.7619,-0.033824625,0.270542585,0,306.9047619,1.095238095,1,0
427,439,6,580.8571429,0.011598464,0.250964844,1.333333333,0,2,2,1
849,724,4,119179.7143,0.013294673,0.090094447,0.142857143,153.1904762,4,4,2
618,564,5,1780.52381,0.007662956,0.138199739,477.2857143,0,4,4,1
429,539,1,1738.095238,-0.011037381,0.307993521,424.2380952,0,4,4,1
272,174,0,230.4285714,0.040979165,0.297795549,0,0,1.738095238,2.5,0
392,444,4,584.8571429,0.003904272,0.255126788,1.571428571,0,2,2,1
773,277,5,489.3809524,0.018003247,0.127172303,0,0,2.023809524,2.5,2
345,213,4,70.33333333,-0.0166717,0.29005355,0,0,2,1.214285714,1
878,681,3,3796.190476,-3.75E-06,0.040607032,368.4761905,382.5714286,4,4,2
847,77,1,13.76190476,0.005061115,0.139427335,0,0,1.047619048,1,2
516,374,4,399.7142857,0.017169069,0.219384746,0,0,2,2,1
551,888,0,101610.5714,0.022151564,0.216675225,0,15.9047619,1,1,1
139,799,2,39053.85714,-0.020588373,0.204485283,0,412.1904762,1,1,0
935,162,2,58.23809524,0.023183777,0.186448108,0,0,1.142857143,2.107142857,2
945,152,6,16,-0.001290376,0.032306675,0,0,1,1.5,2
856,258,0,165.1428571,0.024192414,0.164420802,0,0,1.095238095,1.964285714,2
167,918,2,78246.85714,-0.027446695,0.236381606,0,39.47619048,1,1,0
733,168,1,142.952381,0.045726509,0.307205713,0,0,1.428571429,2.321428571,2
685,611,3,1871.857143,0.015084778,0.146943593,358.4285714,0,2.571428571,1,2
426,440,0,580.1428571,0.011341175,0.251053486,1.333333333,0,2,2,1
865,716,3,68633.61905,0.016767926,0.11445527,1.095238095,378.952381,4,4,2
730,623,1,2449,0.013970657,0.132839561,408.6190476,0,1,1,2
60,20,0,96.42857143,-0.027136309,0.238478495,0,0,2.380952381,3,0
