data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
199,4,0.5605,-0.0251,0.212,0,0,0.5613,0.5764,-0.004576497365820379,0,0.092,0.1411,0.652,0.652,-0.0491,14.1,0.5336,40.8,0.3617,-0.014,189.6,189,111,0.587,1
420,1,0.5719,-0.0094,0.2951,0,0,0.5278,0.5,-0.0005502238189962371,1,0.1361,0.1316,1.034,1.034,0.0045,154.2,-0.3205,-166.7,-0.3661,-0.0014,787.8,567,454,0.799,0
694,2,0.1006,0.0153,0.102,1,0,0.4385,0.4152,0.03773741661770012,2,0.1491,0.0709,2.104,2.097,0.0782,8.9,0.9096,-1271.7,-0.0722,0.0653,27361.7,3955,17622,4.454,1
750,2,0.5003,-0.0035,0.1672,0,1,0.3915,0.2249,-0.00341142156431778,0,0.2062,0.2,1.031,0.883,0.0062,111.5,-0.0622,-43132.0,-0.1419,-0.0323,503444.4,332426,303949,0.914,0
507,4,0.323,0.0151,0.1871,1,0,0.4969,0.5053,0.001269971307498732,1,0.1128,0.1047,1.077,1.076,0.008,86.2,0.3932,186.0,0.1071,-0.0158,1833.5,1319,1735,1.314,1
625,3,0.1605,0.012,0.1054,1,0,0.4254,0.45,0.00778815166899165,2,0.0384,0.03,1.279,1.277,0.0084,82.9,0.1906,660.9,0.1788,0.021,3912.4,2567,3696,1.439,1
826,1,0.3962,-0.0319,0.2566,0,1,0.1389,0.1389,-0.004315205794429186,0,0.25,0.1,2.5,2.487,0.15,4.6,-1650.9244,-508481.8,-156.8317,0.0285,53534.5,26114,3241,0.124,0
529,5,0.5116,0.0258,0.287,1,0,0.5002,0.4564,0.000182993922745343,1,0.1922,0.1774,1.084,1.083,0.0149,46.6,0.4263,252.4,0.1167,-0.0276,2386.5,1418,2161,1.523,1
928,5,0.4841,-0.0254,0.2662,0,1,0.1296,0.1111,-0.005194822543484655,0,0.1687,0.2,0.844,0.825,-0.0313,22.2,0.4988,-5216.6,-0.1632,-0.0154,82275.7,70217,31958,0.455,1
174,0,0.5118,0.041,0.2978,0,0,0.5165,0.4954,-0.002908849543131661,0,0.3319,0.1914,1.734,1.733,0.1404,4.9,-0.033,-183.8,-0.6591,-0.3839,724.1,27,277,9.639,0
210,1,0.4348,-0.0246,0.2475,0,0,0.6014,0.5337,-0.00178183053745385,1,0.1741,0.1996,0.872,0.872,-0.0255,27.2,0.4827,-4.8,-0.0926,0.0244,121.5,92,50,0.543,1
901,6,0.574,-0.001,0.2469,0,1,0.1389,0.1389,-0.003569327775589679,0,0.2248,0.2,1.124,1.07,0.0248,28.0,-1.0024,-40094.1,-0.441,-0.0106,192719.5,81893,90916,1.11,0
59,4,0.1002,-0.0114,0.0885,0,0,0.4317,0.4745,0.04607839921059144,2,0.0997,0.2,0.499,0.499,-0.1003,6.9,0.925,-0.0,-0.0158,-0.0239,7.7,7,1,0.115,1
781,5,0.447,-0.0337,0.2634,0,1,0.1389,0.1389,-0.006390123324870525,0,0.148,0.2,0.74,0.709,-0.052,13.3,0.8261,-246.5,-0.0044,-0.0001,172712.5,162918,56285,0.345,1
863,3,0.1915,0.0236,0.1726,0,1,0.1389,0.1389,0.01852907160980664,2,0.1198,0.03,3.993,3.948,0.0898,7.7,0.8978,15006.9,0.1923,-0.0187,127064.3,10478,78025,7.445,1
76,0,0.1933,0.0078,0.1463,0,0,0.4744,0.5324,0.0175025853587615,2,0.2353,0.1061,2.217,2.217,0.1292,5.4,-0.6512,-5.7,-0.331,-0.6149,50.2,1,16,6.09,0
314,0,0.5509,-0.0384,0.2815,0,0,0.6389,0.6389,-0.004466113938893965,0,0.1181,0.1415,0.835,0.835,-0.0234,29.7,0.6319,-17.4,-0.0347,-0.0038,1016.8,826,500,0.605,1
350,1,0.3921,0.0164,0.2891,0,0,0.6177,0.5833,-0.0004891212703233743,1,0.1583,0.1429,1.108,1.108,0.0154,45.0,0.1781,-171.7,-0.6074,0.0334,631.6,333,281,0.843,1
107,3,0.5567,-0.0182,0.2505,0,0,0.5359,0.5324,-0.0005680006408123135,1,0.1593,0.1642,0.97,0.97,-0.0049,141.6,0.0116,-6.1,-0.2404,-0.0085,43.0,33,24,0.704,1
411,6,0.551,0.0268,0.2985,0,0,0.5635,0.5,-0.0006236897437897443,1,0.1959,0.172,1.139,1.139,0.0239,29.0,-0.0217,58.8,0.0735,-0.0077,932.9,459,799,1.737,0
465,4,0.4642,-0.0106,0.2356,0,0,0.4936,0.3935,0.0001961800206932656,1,0.17,0.1802,0.943,0.943,-0.0102,67.8,0.0991,70.9,0.1305,-0.0437,708.5,578,542,0.936,1
485,3,0.2028,0.0158,0.1301,0,0,0.4199,0.4907,0.01228079148426407,2,0.117,0.1014,1.154,1.154,0.0156,44.4,0.3565,262.5,0.252,0.0002,1154.6,569,1040,1.824,1
