feature,rf_importance,xgb_importance,mean_importance
$\mu^c$,0.1405909155532745,0.07514155,0.10786623233184355
policy_mean_E2_Debt/contract relief,0.016735533155975646,0.12456589,0.07065071253874794
$\beta^c$,0.08307609802334419,0.05735538,0.07021573978587445
growth_rate_max,0.04725454689172676,0.06827329,0.05776391894175495
$\sigma^c$,0.09577647537105141,0.013661423,0.05471894906889825
policy_slope_C4M_Restrictions on gatherings,0.006232714601767915,0.07661624,0.04142447856486482
growth_rate_mean,0.05219614271835172,0.01917837,0.03568725636609238
Re,0.048826217014958526,0.021418447,0.03512233184495075
policy_mean_C2M_Workplace closing,0.00935720887557429,0.05608786,0.032722533925253955
policy_slope_C1M_School closing,0.010956420418747578,0.05055887,0.030757644607190448
R0,0.040773022383990117,0.020685807,0.030729414627225313
growth_rate,0.029208784933515773,0.031337187,0.030272985813830488
$Delta^c$,0.0017154697825801613,0.052118804,0.02691713704418601
policy_mean_C4M_Restrictions on gatherings,0.01620169155941889,0.02859047,0.022396081055931674
policy_mean_C1M_School closing,0.025378833558571054,0.018583741,0.02198128729880438
$Policy^c$,0.02850624752110909,0.0117420945,0.020124171026382198
policy_slope_C3M_Cancel public events,0.007765481169549014,0.031316943,0.019541212318106186
policy_slope_C7M_Restrictions on internal movement,0.004476143443270723,0.033723548,0.019099845748982925
policy_start_StringencyIndex_Average,0.021100976538664815,0.013399962,0.01725046943724489
policy_mean_StringencyIndex_Average,0.025241970341764158,0.007485815,0.016363892599996065
policy_end_StringencyIndex_Average,0.018347774078009017,0.0107183205,0.014533047287194673
policy_slope_StringencyIndex_Average,0.0161240924042693,0.012917003,0.01452054753364281
sir_fit_r2,0.022028756647602215,0.0069317627,0.014480259662144132
$Policy^p$,0.019679982646746547,0.0077183945,0.013699188578597263
policy_mean_E1_Income support,0.005976349613692351,0.021371802,0.01367407596440414
policy_end_E2_Debt/contract relief,0.011315401062960336,0.014527469,0.012921435002533052
doubling_time,0.018135879222872686,0.0071921884,0.01266403381554923
policy_slope_C6M_Stay at home requirements,0.004383320523746446,0.018987982,0.011685651063147999
policy_mean_C3M_Cancel public events,0.013844342535665511,0.008867207,0.011355774759466886
policy_end_C1M_School closing,0.010452292944086514,0.010328097,0.010390195106512765
policy_end_C4M_Restrictions on gatherings,0.0042128853989667325,0.015104269,0.009658577038249704
policy_mean_C7M_Restrictions on internal movement,0.0069625850028783125,0.01094159,0.008952087592680754
policy_start_C1M_School closing,0.00870973024261805,0.0062893713,0.0074995507659654445
$Omicron^c$,0.003710345813754077,0.01093456,0.00732245272106075
policy_mean_H7_Vaccination policy,0.011373373656494523,0.001894468,0.006633920816219402
policy_slope_C2M_Workplace closing,0.0042223442166503655,0.007915592,0.006068968018862426
policy_end_C3M_Cancel public events,0.009381945622313755,0.0006361198,0.005009032712630921
policy_mean_C8EV_International travel controls,0.005425832777898182,0.0041589746,0.004792403701534206
Week,0.004183449752523601,0.005140436,0.004661942817218155
policy_slope_H7_Vaccination policy,0.007755912418760757,0.0,0.0038779562093803786
policy_start_C2M_Workplace closing,0.006428857144686731,0.0013165817,0.003872719440502749
sir_reliable,0.0061903354877343416,0.0,0.0030951677438671708
policy_start_H7_Vaccination policy,0.006063986864285348,0.0,0.003031993432142674
policy_start_C4M_Restrictions on gatherings,0.004415706420859216,0.0012219758,0.002818841099078714
policy_end_C2M_Workplace closing,0.004729951560313277,0.00068832585,0.0027091387034405136
policy_start_E2_Debt/contract relief,0.005417872269193324,0.0,0.002708936134596662
policy_slope_E2_Debt/contract relief,0.004138050330272047,0.0005944926,0.002366271462258934
policy_slope_C8EV_International travel controls,0.0027944136909064813,0.0017612069,0.002277810291147091
policy_end_C7M_Restrictions on internal movement,0.004391456983685743,0.0,0.0021957284918428716
policy_start_C3M_Cancel public events,0.00424775768278996,0.0,0.00212387884139498
policy_mean_C6M_Stay at home requirements,0.004069116412939762,0.0,0.002034558206469881
policy_end_C8EV_International travel controls,0.004012045513588877,0.0,0.0020060227567944384
policy_start_E1_Income support,0.003931218982704796,0.0,0.001965609491352398
policy_start_C7M_Restrictions on internal movement,0.0035829848264942806,0.0,0.0017914924132471403
policy_end_H7_Vaccination policy,0.003233310634107502,0.0,0.001616655317053751
policy_end_E1_Income support,0.002915469465052326,0.0,0.001457734732526163
policy_start_C8EV_International travel controls,0.0024529812318624155,0.0,0.0012264906159312077
policy_start_C6M_Stay at home requirements,0.002008117780268568,0.0,0.001004058890134284
policy_end_C6M_Stay at home requirements,0.0015885181178799195,0.0,0.0007942590589399598
policy_mean_H2_Testing policy,0.0014942082290091733,0.0,0.0007471041145045866
policy_end_H2_Testing policy,0.0014118789503222457,0.0,0.0007059394751611228
policy_start_H2_Testing policy,0.0010892310250707748,0.0,0.0005446155125353874
policy_slope_E1_Income support,0.0005616837934029925,0.0,0.00028084189670149625
policy_slope_H2_Testing policy,0.0004317584768893713,0.0,0.00021587923844468564
policy_start_H3_Contact tracing,0.0004137211278159965,0.0,0.00020686056390799824
policy_slope_H3_Contact tracing,0.0001956870813798941,0.0,9.784354068994704e-05
policy_mean_H3_Contact tracing,0.0001921894767693424,0.0,9.60947383846712e-05
policy_end_H3_Contact tracing,0.0,0.0,0.0
policy_end_H1_Public information campaigns,0.0,0.0,0.0
policy_start_H1_Public information campaigns,0.0,0.0,0.0
policy_mean_H1_Public information campaigns,0.0,0.0,0.0
