Experiment,Model,Test Accuracy,CV Mean,CV Std,Num Features
RI Only (Original Paper),SVM,0.48951048951048953,0.512781954887218,0.028585327176906053,7
RI Only (Original Paper),RF,0.479020979020979,0.5006845471888676,0.02291467333951285,7
RI Only (Original Paper),XGB,0.548951048951049,0.5441701268095612,0.027518840833721435,7
SIR Only,SVM,0.6853146853146853,0.6597127146223768,0.04735126312308393,6
SIR Only,RF,0.6643356643356644,0.6297721916732129,0.054890227115065186,6
SIR Only,XGB,0.6468531468531469,0.6433172483447425,0.043447913574647674,6
Policy Only,SVM,0.6783216783216783,0.6328133767253956,0.04033266393953724,7
Policy Only,RF,0.6538461538461539,0.6717427898103467,0.028854475114344854,7
Policy Only,XGB,0.7657342657342657,0.7497250589159465,0.03114832382832838,7
RI + SIR,SVM,0.7167832167832168,0.710672202895298,0.020595556137168795,13
RI + SIR,RF,0.7062937062937062,0.706351700145887,0.056614652834774334,13
RI + SIR,XGB,0.7167832167832168,0.7391538547862193,0.016323694462774038,13
RI + Policy,SVM,0.7867132867132867,0.7646616541353384,0.018718370606950835,14
RI + Policy,RF,0.8426573426573427,0.8425878128156212,0.029469537250681292,14
RI + Policy,XGB,0.8846153846153846,0.8995735607675905,0.013729174267326248,14
SIR + Policy,SVM,0.8216783216783217,0.7976209179665583,0.02542795215056619,13
SIR + Policy,RF,0.8531468531468531,0.8275389967455954,0.04625783211252383,13
SIR + Policy,XGB,0.9090909090909091,0.8756256312422848,0.022688813690397498,13
ALL Features (Your Contribution),SVM,0.7832167832167832,0.8485467399842891,0.040356752399456464,20
ALL Features (Your Contribution),RF,0.8461538461538461,0.8801032431825833,0.02251325916622295,20
ALL Features (Your Contribution),XGB,0.951048951048951,0.9266075636853326,0.022669028485822626,20
