data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
0,1,0.3831,0.0282,0.2684,0,0,0.5816,0.7679,-0.007035618832869009,0,0.4538,0.1339,3.39,3.39,0.3199,2.2,-1.4924,-325.0,-1.1729,-0.2846,2292.5,1,276,138.048,0
1,2,0.3803,0.0199,0.264,0,0,0.5913,0.7725,-0.007258003720827132,0,0.4446,0.1366,3.254,3.254,0.308,2.3,-2.0299,-348.6,-2.7806,-0.24,2233.2,1,124,62.19,0
2,3,0.3912,0.013,0.2529,0,0,0.601,0.7771,-0.007717066936175556,0,0.3363,0.1835,1.832,1.832,0.1528,4.5,-1.4272,-344.2,-2.1687,-0.2757,1464.4,23,157,6.399,0
3,4,0.3782,0.0039,0.2529,0,0,0.6107,0.7818,-0.00785410528387195,0,0.2322,0.1754,1.324,1.324,0.0568,12.2,-0.5337,-293.5,-2.217,-0.2749,989.3,136,131,0.957,0
4,5,0.38,-0.0049,0.2505,0,0,0.6204,0.7864,-0.007960043422942922,0,0.2062,0.1776,1.161,1.161,0.0286,24.2,-0.3903,-240.5,-1.9526,-0.2636,849.3,204,122,0.594,0
5,6,0.3752,-0.012,0.2557,0,0,0.6301,0.791,-0.007960780252370762,0,0.1942,0.1784,1.089,1.089,0.0158,43.8,-0.3189,-209.9,-1.9186,-0.2294,786.1,231,108,0.465,0
6,0,0.3706,-0.0189,0.2623,0,0,0.6398,0.7957,-0.007991660817851378,0,0.2201,0.1768,1.245,1.245,0.0433,16.0,-0.9868,-218.5,-2.9072,-0.1609,922.2,123,74,0.598,0
7,1,0.3653,-0.0257,0.2688,0,0,0.6495,0.8003,-0.008025935912414404,0,0.2305,0.1772,1.301,1.3,0.0533,13.0,-1.2022,-198.9,-3.3332,-0.1119,971.5,88,58,0.654,0
8,2,0.3626,-0.0335,0.2718,0,0,0.6592,0.8049,-0.00799498792694967,0,0.1747,0.1786,0.978,0.978,-0.0039,176.1,-0.2966,-129.8,-1.4962,-0.0714,707.7,233,85,0.366,0
9,3,0.3532,-0.0391,0.2792,0,0,0.6689,0.8095,-0.007997471572380226,0,0.1033,0.1506,0.686,0.686,-0.0473,14.7,0.4088,-85.6,-1.0774,-0.0438,707.7,422,78,0.185,1
10,4,0.3362,-0.0405,0.2825,0,0,0.6786,0.8142,-0.008106987028989284,0,0.0917,0.1668,0.55,0.549,-0.0751,9.2,0.7303,1.7,0.0133,-0.0238,692.9,556,125,0.225,1
11,5,0.3169,-0.0427,0.2882,0,0,0.6883,0.8188,-0.00808709037250564,0,0.0706,0.2,0.353,0.353,-0.1294,5.4,0.9651,34.9,0.3485,-0.0014,852.9,852,99,0.116,1
12,6,0.3694,-0.0481,0.3301,0,0,0.6993,0.8148,-0.008017383917150102,0,0.0888,0.2,0.444,0.444,-0.1112,6.2,0.9198,46.4,0.395,0.019,647.8,647,116,0.179,1
