data_num,policy_mean_StringencyIndex_Average,policy_slope_StringencyIndex_Average,policy_start_StringencyIndex_Average,policy_end_StringencyIndex_Average,policy_mean_H7_Vaccination policy,policy_slope_H7_Vaccination policy,policy_start_H7_Vaccination policy,policy_end_H7_Vaccination policy,policy_mean_H1_Public information campaigns,policy_start_H1_Public information campaigns,policy_end_H1_Public information campaigns,policy_mean_C4M_Restrictions on gatherings,policy_slope_C4M_Restrictions on gatherings,policy_start_C4M_Restrictions on gatherings,policy_end_C4M_Restrictions on gatherings,policy_mean_C2M_Workplace closing,policy_slope_C2M_Workplace closing,policy_start_C2M_Workplace closing,policy_end_C2M_Workplace closing,policy_mean_C1M_School closing,policy_slope_C1M_School closing,policy_start_C1M_School closing,policy_end_C1M_School closing,policy_mean_C3M_Cancel public events,policy_slope_C3M_Cancel public events,policy_start_C3M_Cancel public events,policy_end_C3M_Cancel public events,policy_mean_E1_Income support,policy_slope_E1_Income support,policy_start_E1_Income support,policy_end_E1_Income support,policy_mean_C8EV_International travel controls,policy_slope_C8EV_International travel controls,policy_start_C8EV_International travel controls,policy_end_C8EV_International travel controls,growth_rate_mean,growth_rate_max
0,34.831428571428575,0.7997792207792209,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.38095238095238093,0.08831168831168829,0.0,2.0,0.047619047619047616,0.012987012987012984,0.0,1.0,3.0,0.0,3.0,3.0,1.1904761904761905,0.04415584415584417,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.1439650699352628,0.382834229729487
1,35.978095238095236,1.0211038961038965,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.47619047619047616,0.10389610389610389,0.0,2.0,0.09523809523809523,0.02467532467532467,0.0,1.0,3.0,0.0,3.0,3.0,1.2380952380952381,0.051948051948051945,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.18267863135662632,0.6917762515465624
2,37.1247619047619,1.2111558441558443,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5714285714285714,0.11688311688311687,0.0,2.0,0.14285714285714285,0.03506493506493506,0.0,1.0,3.0,0.0,3.0,3.0,1.2857142857142858,0.05844155844155843,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.22717437995436082,0.8585392283578581
3,38.271428571428565,1.3699350649350652,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.6666666666666666,0.12727272727272726,0.0,2.0,0.19047619047619047,0.04415584415584414,0.0,1.0,3.0,0.0,3.0,3.0,1.3333333333333333,0.06363636363636363,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.26235260990201426,0.8585392283578581
4,39.418095238095226,1.4974415584415584,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.7619047619047619,0.13506493506493505,0.0,2.0,0.23809523809523808,0.051948051948051945,0.0,1.0,3.0,0.0,3.0,3.0,1.380952380952381,0.06753246753246753,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.27865217632616984,0.8585392283578581
5,40.5647619047619,1.5936753246753252,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.8571428571428571,0.14025974025974028,0.0,2.0,0.2857142857142857,0.05844155844155843,0.0,1.0,3.0,0.0,3.0,3.0,1.4285714285714286,0.07012987012987014,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.2776554072070113,0.8585392283578581
6,41.71142857142856,1.658636363636364,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.9523809523809523,0.14285714285714285,0.0,2.0,0.3333333333333333,0.06363636363636363,0.0,1.0,3.0,0.0,3.0,3.0,1.4761904761904763,0.07142857142857144,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.2674950365691424,0.8585392283578581
7,42.858095238095224,1.6923246753246757,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0476190476190477,0.14285714285714285,0.0,2.0,0.38095238095238093,0.06753246753246753,0.0,1.0,3.0,0.0,3.0,3.0,1.5238095238095237,0.07142857142857145,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.25507661700627643,0.8585392283578581
8,44.00476190476189,1.69474025974026,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.1428571428571428,0.14025974025974025,0.0,2.0,0.42857142857142855,0.07012987012987014,0.0,1.0,3.0,0.0,3.0,3.0,1.5714285714285714,0.07012987012987013,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.2429757634140408,0.8585392283578581
9,45.15142857142856,1.6658831168831174,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.2380952380952381,0.13506493506493508,0.0,2.0,0.47619047619047616,0.07142857142857142,0.0,1.0,3.0,0.0,3.0,3.0,1.619047619047619,0.06753246753246753,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.2313544631503032,0.8585392283578581
10,46.29809523809523,1.605753246753247,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.3333333333333333,0.12727272727272726,0.0,2.0,0.5238095238095238,0.07142857142857142,0.0,1.0,3.0,0.0,3.0,3.0,1.6666666666666667,0.06363636363636363,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.22047705863620926,0.8585392283578581
11,47.444761904761904,1.5143506493506493,31.48,55.56,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.4285714285714286,0.1168831168831169,0.0,2.0,0.5714285714285714,0.07012987012987013,0.0,1.0,3.0,0.0,3.0,3.0,1.7142857142857142,0.05844155844155845,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.21095879007439822,0.8585392283578581
