data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable,policy_mean_H2_Testing policy,policy_start_H2_Testing policy,policy_end_H2_Testing policy,policy_slope_H2_Testing policy,policy_mean_H3_Contact tracing,policy_start_H3_Contact tracing,policy_end_H3_Contact tracing,policy_slope_H3_Contact tracing,policy_mean_StringencyIndex_Average,policy_start_StringencyIndex_Average,policy_end_StringencyIndex_Average,policy_slope_StringencyIndex_Average,policy_mean_E2_Debt/contract relief,policy_start_E2_Debt/contract relief,policy_end_E2_Debt/contract relief,policy_slope_E2_Debt/contract relief,policy_mean_E1_Income support,policy_start_E1_Income support,policy_end_E1_Income support,policy_slope_E1_Income support,policy_mean_C7M_Restrictions on internal movement,policy_start_C7M_Restrictions on internal movement,policy_end_C7M_Restrictions on internal movement,policy_slope_C7M_Restrictions on internal movement,policy_mean_C8EV_International travel controls,policy_start_C8EV_International travel controls,policy_end_C8EV_International travel controls,policy_slope_C8EV_International travel controls,policy_mean_H1_Public information campaigns,policy_start_H1_Public information campaigns,policy_end_H1_Public information campaigns,policy_mean_C3M_Cancel public events,policy_start_C3M_Cancel public events,policy_end_C3M_Cancel public events,policy_slope_C3M_Cancel public events,policy_mean_C4M_Restrictions on gatherings,policy_start_C4M_Restrictions on gatherings,policy_end_C4M_Restrictions on gatherings,policy_slope_C4M_Restrictions on gatherings,policy_mean_C1M_School closing,policy_start_C1M_School closing,policy_end_C1M_School closing,policy_slope_C1M_School closing,policy_mean_C6M_Stay at home requirements,policy_start_C6M_Stay at home requirements,policy_end_C6M_Stay at home requirements,policy_slope_C6M_Stay at home requirements,policy_mean_C2M_Workplace closing,policy_start_C2M_Workplace closing,policy_end_C2M_Workplace closing,policy_slope_C2M_Workplace closing,policy_mean_H7_Vaccination policy,policy_start_H7_Vaccination policy,policy_end_H7_Vaccination policy,policy_slope_H7_Vaccination policy,growth_rate_mean,growth_rate_max
0,1,0.3831,0.0282,0.2684,0,0,0.5816,0.7679,-0.007035618832869,0,0.4538,0.1339,3.39,3.39,0.3199,2.2,-1.4924,-325.0,-1.1729,-0.2846,2292.5,1,276,138.048,0,1.8571428571428572,1.0,2.0,0.03506493506493507,1.6666666666666667,1.0,2.0,0.06363636363636363,34.831428571428575,31.48,55.56,0.7997792207792209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,1.0,0.02467532467532467,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.1904761904761905,1.0,2.0,0.04415584415584417,0.38095238095238093,0.0,2.0,0.08831168831168829,3.0,3.0,3.0,0.0,0.09523809523809523,0.0,1.0,0.02467532467532467,0.047619047619047616,0.0,1.0,0.012987012987012984,0.0,0.0,0.0,0.0,0.1439650699352628,0.382834229729487
1,2,0.3803,0.0199,0.264,0,0,0.5913,0.7725,-0.0072580037208271,0,0.4446,0.1366,3.254,3.254,0.308,2.3,-2.0299,-348.6,-2.7806,-0.24,2233.2,1,124,62.19,0,1.9047619047619047,1.0,2.0,0.024675324675324677,1.7142857142857142,1.0,2.0,0.05844155844155845,35.978095238095236,31.48,55.56,1.0211038961038965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.03506493506493506,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.2380952380952381,1.0,2.0,0.051948051948051945,0.47619047619047616,0.0,2.0,0.10389610389610389,3.0,3.0,3.0,0.0,0.14285714285714285,0.0,1.0,0.03506493506493506,0.09523809523809523,0.0,1.0,0.02467532467532467,0.0,0.0,0.0,0.0,0.18267863135662632,0.6917762515465624
2,3,0.3912,0.013,0.2529,0,0,0.601,0.7771,-0.0077170669361755,0,0.3363,0.1835,1.832,1.832,0.1528,4.5,-1.4272,-344.2,-2.1687,-0.2757,1464.4,23,157,6.399,0,1.9523809523809523,1.0,2.0,0.012987012987012962,1.7619047619047619,1.0,2.0,0.05194805194805195,37.1247619047619,31.48,55.56,1.2111558441558443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,1.0,0.04415584415584414,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.2857142857142858,1.0,2.0,0.05844155844155843,0.5714285714285714,0.0,2.0,0.11688311688311687,3.0,3.0,3.0,0.0,0.19047619047619047,0.0,1.0,0.04415584415584414,0.14285714285714285,0.0,1.0,0.03506493506493506,0.0,0.0,0.0,0.0,0.22717437995436082,0.8585392283578581
3,4,0.3782,0.0039,0.2529,0,0,0.6107,0.7818,-0.0078541052838719,0,0.2322,0.1754,1.324,1.324,0.0568,12.2,-0.5337,-293.5,-2.217,-0.2749,989.3,136,131,0.957,0,2.0,2.0,2.0,0.0,1.8095238095238095,1.0,2.0,0.044155844155844164,38.271428571428565,31.48,55.56,1.3699350649350652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,1.0,0.051948051948051945,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.3333333333333333,1.0,2.0,0.06363636363636363,0.6666666666666666,0.0,2.0,0.12727272727272726,3.0,3.0,3.0,0.0,0.23809523809523808,0.0,1.0,0.051948051948051945,0.19047619047619047,0.0,1.0,0.04415584415584414,0.0,0.0,0.0,0.0,0.26235260990201426,0.8585392283578581
4,5,0.38,-0.0049,0.2505,0,0,0.6204,0.7864,-0.0079600434229429,0,0.2062,0.1776,1.161,1.161,0.0286,24.2,-0.3903,-240.5,-1.9526,-0.2636,849.3,204,122,0.594,0,2.0,2.0,2.0,0.0,1.8571428571428572,1.0,2.0,0.03506493506493507,39.418095238095226,31.48,55.56,1.4974415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.0,0.05844155844155843,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.380952380952381,1.0,2.0,0.06753246753246753,0.7619047619047619,0.0,2.0,0.13506493506493505,3.0,3.0,3.0,0.0,0.2857142857142857,0.0,1.0,0.05844155844155843,0.23809523809523808,0.0,1.0,0.051948051948051945,0.0,0.0,0.0,0.0,0.27865217632616984,0.8585392283578581
5,6,0.3752,-0.012,0.2557,0,0,0.6301,0.791,-0.0079607802523707,0,0.1942,0.1784,1.089,1.089,0.0158,43.8,-0.3189,-209.9,-1.9186,-0.2294,786.1,231,108,0.465,0,2.0,2.0,2.0,0.0,1.9047619047619047,1.0,2.0,0.024675324675324677,40.5647619047619,31.48,55.56,1.5936753246753252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.06363636363636363,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.4285714285714286,1.0,2.0,0.07012987012987014,0.8571428571428571,0.0,2.0,0.14025974025974028,3.0,3.0,3.0,0.0,0.3333333333333333,0.0,1.0,0.06363636363636363,0.2857142857142857,0.0,1.0,0.05844155844155843,0.0,0.0,0.0,0.0,0.2776554072070113,0.8585392283578581
6,0,0.3706,-0.0189,0.2623,0,0,0.6398,0.7957,-0.0079916608178513,0,0.2201,0.1768,1.245,1.245,0.0433,16.0,-0.9868,-218.5,-2.9072,-0.1609,922.2,123,74,0.598,0,2.0,2.0,2.0,0.0,1.9523809523809523,1.0,2.0,0.012987012987012962,41.71142857142856,31.48,55.56,1.658636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,1.0,0.06753246753246753,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.4761904761904763,1.0,2.0,0.07142857142857144,0.9523809523809523,0.0,2.0,0.14285714285714285,3.0,3.0,3.0,0.0,0.38095238095238093,0.0,1.0,0.06753246753246753,0.3333333333333333,0.0,1.0,0.06363636363636363,0.0,0.0,0.0,0.0,0.2674950365691424,0.8585392283578581
7,1,0.3653,-0.0257,0.2688,0,0,0.6495,0.8003,-0.0080259359124144,0,0.2305,0.1772,1.301,1.3,0.0533,13.0,-1.2022,-198.9,-3.3332,-0.1119,971.5,88,58,0.654,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,42.858095238095224,31.48,55.56,1.6923246753246757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.07012987012987014,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.5238095238095237,1.0,2.0,0.07142857142857145,1.0476190476190477,0.0,2.0,0.14285714285714285,3.0,3.0,3.0,0.0,0.42857142857142855,0.0,1.0,0.07012987012987014,0.38095238095238093,0.0,1.0,0.06753246753246753,0.0,0.0,0.0,0.0,0.25507661700627643,0.8585392283578581
8,2,0.3626,-0.0335,0.2718,0,0,0.6592,0.8049,-0.0079949879269496,0,0.1747,0.1786,0.978,0.978,-0.0039,176.1,-0.2966,-129.8,-1.4962,-0.0714,707.7,233,85,0.366,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,44.00476190476189,31.48,55.56,1.69474025974026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,1.0,0.07142857142857142,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.5714285714285714,1.0,2.0,0.07012987012987013,1.1428571428571428,0.0,2.0,0.14025974025974025,3.0,3.0,3.0,0.0,0.47619047619047616,0.0,1.0,0.07142857142857142,0.42857142857142855,0.0,1.0,0.07012987012987014,0.0,0.0,0.0,0.0,0.2429757634140408,0.8585392283578581
9,3,0.3532,-0.0391,0.2792,0,0,0.6689,0.8095,-0.0079974715723802,0,0.1033,0.1506,0.686,0.686,-0.0473,14.7,0.4088,-85.6,-1.0774,-0.0438,707.7,422,78,0.185,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,45.15142857142856,31.48,55.56,1.6658831168831174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.0,1.0,0.07142857142857142,3.0,3.0,3.0,0.0,2.0,2.0,2.0,1.619047619047619,1.0,2.0,0.06753246753246753,1.2380952380952381,0.0,2.0,0.13506493506493508,3.0,3.0,3.0,0.0,0.5238095238095238,0.0,1.0,0.07142857142857142,0.47619047619047616,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.2313544631503032,0.8585392283578581
