,Feature,RF Importance,XGB Importance,Mean Importance
1,$\mu^c$,0.1606,0.0800,0.1203
2,$\beta^c$,0.0690,0.0614,0.0652
3,growth_rate_max,0.0508,0.0773,0.0641
4,mean: E2_Debt/contract relief,0.0199,0.0995,0.0597
5,$\sigma^c$,0.0912,0.0151,0.0531
6,slope: C4M_gatherings,0.0079,0.0914,0.0496
7,growth_rate_mean,0.0531,0.0177,0.0354
8,growth_rate,0.0316,0.0295,0.0306
9,R0,0.0308,0.0258,0.0283
10,slope: C1M_School closing,0.0108,0.0455,0.0281
11,Re,0.0398,0.0155,0.0277
12,$Delta^c$,0.0024,0.0508,0.0266
13,end: C1M_School closing,0.0147,0.0380,0.0263
14,mean: C2M_Workplace closing,0.0114,0.0393,0.0253
15,slope: C7M_internal movement,0.0068,0.0396,0.0232
16,mean: C1M_School closing,0.0251,0.0193,0.0222
17,start: StringencyIndex,0.0283,0.0130,0.0206
18,$Policy^c$,0.0264,0.0142,0.0203
19,end: StringencyIndex,0.0224,0.0150,0.0187
20,slope: C3M_Cancel public events,0.0044,0.0322,0.0183
